" With {0}% growth applied, next year projects to {1}.", وبتطبيق نمو {0}٪، يُتوقع العام القادم {1}.
1 = eldest enrolled. Drives sibling discount tiers.,١ = الأكبر سناً بين المسجلين. يحدد شرائح خصم الأشقاء.
1-30 Days,١-٣٠ يوماً
2 = second child. Matches the tier table in SKILL sec. 17.6.,٢ = الابن الثاني. مطابق لجدول الشرائح في SKILL sec. 17.6.
31-60 Days,٣١-٦٠ يوماً
61-90 Days,٦١-٩٠ يوماً
91-120 Days,٩١-١٢٠ يوماً
"A class average reflects intake, subject and cohort as well as teaching. Treat this as a variance to investigate, not a judgement.",متوسط الفصل يعكس القبول والمادة والدفعة إضافةً إلى التدريس. تعامل معه كانحراف يستدعي الدراسة، لا كحكم.
"A physical campus, sitting between the legal entity and its school divisions.",حرم مدرسي فعلي، يقع بين الكيان القانوني والمراحل الدراسية التابعة له.
A rejection reason is required.,سبب الرفض مطلوب.
A transfer needs both a from and a to employee.,النقل يتطلب تحديد الموظف المرسل والمستلم معاً.
AGS / Saudi Details,البيانات السعودية
AGS AI Query Log,سجل استعلامات التحليل
AGS AI Settings,إعدادات التحليل الذكي
AGS Approval,اعتماد النظام
AGS Approval Level,مستوى الاعتماد
AGS Approval Log,سجل الاعتماد
AGS Approval Matrix,مصفوفة الاعتماد
AGS Approval Request,طلب اعتماد
AGS Asset Handover,تسليم عهدة
AGS Asset Handover Item,بند تسليم العهدة
AGS Budget Commitment,ارتباط الميزانية
AGS Campus,الحرم المدرسي
AGS Campus Link,ربط الحرم المدرسي
AGS Collection Action,إجراء التحصيل
AGS Collection Case,ملف التحصيل
AGS Department Issue,صرف مواد لقسم
AGS Department Issue Item,بند صرف المواد
AGS Department Issue {0} - {1},صرف مواد لقسم {0} - {1}
AGS Discount Application,طلب خصم
AGS Discount Rule,قاعدة الخصم
AGS Discount Rule Component,بند قاعدة الخصم
AGS Document Expiry,انتهاء صلاحية مستند
AGS Fee Plan,خطة الرسوم
AGS Fee Plan Component,بند خطة الرسوم
AGS Fee Plan Discount,خصم خطة الرسوم
AGS Fee Plan Installment,قسط خطة الرسوم
AGS Fee Waiver,إعفاء من الرسوم
AGS Justification,المبرر
AGS KPI Definition,تعريف مؤشر الأداء
AGS KPI Role,دور مؤشر الأداء
AGS KPI Snapshot,لقطة مؤشر الأداء
AGS Location & Custody,الموقع والعهدة
AGS Notification Outbox,صندوق الإشعارات الصادرة
AGS Notification Rule,قاعدة الإشعار
AGS Payer Account,حساب الدافع
AGS Payer Student,طالب مرتبط بالدافع
AGS Quotation Comparison,مقارنة عروض الأسعار
AGS Quotation Comparison Supplier,مورد في مقارنة العروض
AGS Reminder Log,سجل التذكيرات
AGS Reminder Rule,قاعدة التذكير
AGS Scholarship,المنحة الدراسية
AGS School Details,بيانات المدرسة
AGS School Division,المرحلة الدراسية
AGS School Fees,الرسوم الدراسية
AGS School Item,بيانات الصنف المدرسي
AGS Settings,إعدادات النظام
AGS Three Way Match Exception,استثناء المطابقة الثلاثية
AGS User Scope,نطاق صلاحية المستخدم
AGS ZATCA Invoice Log,سجل الفوترة الإلكترونية
AGS ZATCA Settings,إعدادات الفوترة الإلكترونية
API Base URL,رابط الواجهة البرمجية
API Key,مفتاح الواجهة البرمجية
Abbreviation,الاختصار
"About {0} is expected over the next {1} month(s): {2} from the {3} falling due at the observed {4}% collection rate, plus an estimated {5} recovered from the {6} already overdue.",يُتوقع تحصيل نحو {0} خلال {1} شهر: {2} من المستحق البالغ {3} بمعدل التحصيل الملاحظ {4}٪، إضافةً إلى {5} تقديرياً من المتأخرات البالغة {6}.
Absence runs at {0}% overall and no department stands out against the others.,معدل الغياب {0}٪ إجمالاً ولا يوجد قسم يبرز عن غيره.
Absence runs at {0}% overall. {1} department(s) are unusually high; {2} is the clearest at {3}% against a median of {4}%.,معدل الغياب {0}٪ إجمالاً. {1} قسم مرتفع بشكل غير معتاد؛ الأوضح هو {2} بنسبة {3}٪ مقابل وسيط {4}٪.
Absenteeism by department,الغياب حسب القسم
Academic,الأكاديمي
Academic Discount,خصم أكاديمي
Academic Range,النطاق الدراسي
Academic Term,الفصل الدراسي
Academic Year,العام الدراسي
Access All Campuses,الوصول إلى جميع الأحرام
Access Scope,نطاق الوصول
Accessories,الملحقات
Accounting,المحاسبة
Acknowledge,إقرار الاستلام
Acknowledged,تم الإقرار
Acknowledged By,أقر بواسطة
Acknowledged On,تاريخ الإقرار
Acknowledged by {0}.,تم الإقرار بواسطة {0}.
Acknowledgement,الإقرار
Action,الإجراء
Action If Committed Budget Exceeded,الإجراء عند تجاوز الميزانية المرتبطة
Actions,الإجراءات
Active,نشط
Actual,الفعلي
Add at least one asset.,أضف أصلاً واحداً على الأقل.
Add at least one fee component.,أضف بند رسوم واحداً على الأقل.
Add at least one item.,أضف صنفاً واحداً على الأقل.
Additional Condition,شرط إضافي
Address,العنوان
Ageing Buckets,فئات التقادم
Allergies,الحساسية
Allocated,المخصص
Also Notify Role,إشعار دور إضافي
Always Requires Approval,يتطلب اعتماداً دائماً
Amended From,معدّل من
Amount,المبلغ
Amount Field,حقل المبلغ
Amounts,المبالغ
Analysis,التحليل
Annual,سنوي
Annual Fees,الرسوم السنوية
Applied,مطبّق
Applied To Fee Plan,مطبّق على خطة الرسوم
Applies From Child #,يطبق من الابن رقم
Applies To Child #,يطبق حتى الابن رقم
Apply To All Fee Components,تطبيق على جميع بنود الرسوم
Approval,الاعتماد
Approval Levels,مستويات الاعتماد
Approval Pending,بانتظار الاعتماد
Approval Rejected,تم رفض الاعتماد
Approval Status,حالة الاعتماد
Approval Trail,مسار الاعتماد
Approved,معتمد
Approved By,اعتمد بواسطة
Approved On,تاريخ الاعتماد
Approved requests and open orders consume budget before the invoice lands (SKILL sec. 7.1).,الطلبات المعتمدة وأوامر الشراء المفتوحة تستهلك الميزانية قبل ورود الفاتورة (SKILL sec. 7.1).
Approver,المعتمد
Approver Role,دور المعتمد
Ask a question.,اطرح سؤالاً.
Asked By,السائل
Asset,الأصل
Asset Movement,حركة الأصل
Asset return overdue: {0},تأخر إرجاع العهدة: {0}
Asset {0} is currently held by {1}. Record a return or a transfer instead.,الأصل {0} في عهدة {1} حالياً. سجّل إرجاعاً أو نقلاً بدلاً من ذلك.
Asset {0} is listed twice.,الأصل {0} مُدرج مرتين.
Assets,الأصول
Assets Issued To Me,الأصول المسلّمة لي
Assets Not Returned,لم تُرجع العهد
Attempts,المحاولات
Attendance is recorded for only {0} department(s) in this period - too few to identify an outlier.,الحضور مسجل لـ {0} قسم فقط في هذه الفترة - وهو عدد أقل من أن يحدد حالة شاذة.
Audit Retention,مدة حفظ السجل
Audited discount request with before/after values (SKILL sec. 17.7).,طلب خصم موثّق يحتفظ بالقيم قبل وبعد التعديل (SKILL sec. 17.7).
Auto-Apply Matching Discount Rules,تطبيق قواعد الخصم المطابقة تلقائياً
Available,المتاح
Awaiting,بانتظار
Awaiting Award,بانتظار الترسية
Awaiting Role,بانتظار دور
Award,الترسية
Award Justification,مبرر الترسية
Award justification is required when the award differs from the system recommendation ({0}).,مبرر الترسية مطلوب عند اختلافها عن توصية النظام ({0}).
Awarded,تمت الترسية
Awarded Supplier,المورد المرسى عليه
Awarded supplier {0} is not among the compared suppliers.,المورد المرسى عليه {0} ليس ضمن الموردين المقارَنين.
Balance,الرصيد
"Based on current salary structure assignments. Does not include planned hires, promotions or end-of-service provisions.",بناءً على هياكل الرواتب المسندة حالياً. لا يشمل التعيينات المخططة أو الترقيات أو مخصصات نهاية الخدمة.
Basis: {0},الأساس: {0}
Behaviour,السلوك
Billing {0} against an ordered value of {1}.,فوترة {0} مقابل قيمة مطلوبة {1}.
Blank applies to every campus.,الفراغ يعني التطبيق على جميع الأحرام المدرسية.
Block Invoice If Clearance Fails,إيقاف الفاتورة عند فشل التصديق
Blocking,مانع
Boys,بنين
Budget,الميزانية
Budget Account,حساب الميزانية
Budget Amount,مبلغ الميزانية
Budget Available,الميزانية المتاحة
Budget Control,ضبط الميزانية
Budget Exceeded,تجاوز الميزانية
Budget Warning,تنبيه الميزانية
"Budget exceeded for {0} / {1}. Available {2} (budget {3} less actual {4} and committed {5}), requested {6}.",تجاوز الميزانية لـ {0} / {1}. المتاح {2} (الميزانية {3} ناقص الفعلي {4} والمرتبط {5})، المطلوب {6}.
"Budget exceeded for {0} / {1}. Available {2}, order {3}.",تجاوز الميزانية لـ {0} / {1}. المتاح {2}، أمر الشراء {3}.
Budget overruns,تجاوزات الميزانية
Building,المبنى
By,بواسطة
By Academic Term,حسب الفصل الدراسي
By Academic Year,حسب العام الدراسي
By Campus,حسب الحرم المدرسي
By Company,حسب الشركة
By Department,حسب القسم
By Grade,حسب الصف
By School Division,حسب المرحلة
By Teaching Days,حسب أيام التدريس
By Term,حسب الفصل
CSR Configuration,إعداد طلب الشهادة
Calculation,طريقة الحساب
Call,اتصال
Campus,الحرم المدرسي
Campus Name,اسم الحرم المدرسي
Campus Name (Arabic),اسم الحرم المدرسي (بالعربية)
Campus row scoping. A user with no scope row sees no campus-bound records.,تحديد نطاق السجلات حسب الحرم المدرسي. المستخدم بلا نطاق محدد لا يرى أي سجلات مرتبطة بحرم مدرسي.
Campuses,الأحرام المدرسية
